catalog_version,source_record_id,use,status,reasons
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-002,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-002,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-002,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-002,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-003,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-003,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-003,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-003,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-004,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-004,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-004,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-004,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-005,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-005,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-005,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-005,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-006,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-006,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-006,fibre_context,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-006,gi_gl_calculation,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-007,composition_energy,candidate,source_field_present
r2_sha256_6db5357ae368981b1e2781a2a2402d60d63850e7b59c63e757b654a39bdc51d9,BAO2011-007,experimental_fii_input,candidate,attributed_glucose_reference_1000_kj
