canonical_id,dataset_component,food_category,food_name_source,food_name_clean,test_year,weight_g_per_MJ,protein_g_per_MJ,fat_g_per_MJ,avcho_g_per_MJ,sugar_g_per_MJ,fibre_g_per_MJ,GI_pct,GL_g_per_MJ,GS_pct,GS_sem,FII_pct,FII_sem,composition_basis_kJ,actual_test_energy_kJ,response_reference,harmonization_note,source_study,source_table,source_printed_page,source_row,source_doi,source_footnote
BAO2011-002,Bao 2011 published 121,Dairy products,"Low-fat vanilla ice cream (Coles Farmland; Coles Supermarkets, Sydney, Australia)","Low-fat vanilla ice cream (Coles Farmland; Coles Supermarkets, Sydney, Australia)",2004,185,6,7,44,37,0,43,19,50.0,2.0,69.0,6.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,2,10.3945/ajcn.110.005033,
BAO2011-003,Bao 2011 published 121,Dairy products,"Vanilla ice cream (Dairy Bell, Camperdown, Australia)","Vanilla ice cream (Dairy Bell, Camperdown, Australia)",1997,120,5,13,26,26,0,50,13,49.0,13.0,65.0,9.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,3,10.3945/ajcn.110.005033,
BAO2011-004,Bao 2011 published 121,Dairy products,"Yogurt, strawberry low-fat (Dairy Farmers, Lidcombe, Australia)","Yogurt, strawberry low-fat (Dairy Farmers, Lidcombe, Australia)",1997,260,12,5,38,38,1,31,12,43.0,11.0,84.0,9.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,4,10.3945/ajcn.110.005033,
BAO2011-005,Bao 2011 published 121,Dairy products,"Frozen yogurt, peach-mango (Streets Blue Ribbon; Unilever Pty Ltd, Epping, Australia)","Frozen yogurt, peach-mango (Streets Blue Ribbon; Unilever Pty Ltd, Epping, Australia)",2004,181,9,5,38,36,0,51,19,41.0,6.0,64.0,6.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,5,10.3945/ajcn.110.005033,
BAO2011-006,Bao 2011 published 121,Dairy products,Cheddar cheese (Grocery-Wholesalers; Coles Supermarkets),Cheddar cheese (Grocery-Wholesalers; Coles Supermarkets),1997,59,15,21,0,0,0,0,0,39.0,13.0,33.0,9.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,6,10.3945/ajcn.110.005033,
BAO2011-007,Bao 2011 published 121,Dairy products,Skim-fat milk (Dairy Farmers),Skim-fat milk (Dairy Farmers),2001,690,25,1,33,33,0,29,9,25.0,6.0,60.0,13.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,7,10.3945/ajcn.110.005033,
BAO2011-008,Bao 2011 published 121,Dairy products,1%-Fat milk (Dairy Farmers),1%-Fat milk (Dairy Farmers),2005,558,20,6,27,27,0,29,8,16.0,3.0,34.0,4.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,8,10.3945/ajcn.110.005033,
BAO2011-009,Bao 2011 published 121,Dairy products,"Low-fat processed cheese (Kraft free singles; Kraft Foods Ltd, South Wharf, Australia)","Low-fat processed cheese (Kraft free singles; Kraft Foods Ltd, South Wharf, Australia)",2003,154,36,4,15,15,0,10,2,14.0,3.0,42.0,6.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,9,10.3945/ajcn.110.005033,
BAO2011-010,Bao 2011 published 121,Dairy products,Milk (Dairy Farmers),Milk (Dairy Farmers),1999,368,11,14,17,17,0,31,5,12.0,1.0,24.0,3.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,10,10.3945/ajcn.110.005033,
BAO2011-011,Bao 2011 published 121,Dairy products,Reduced-fat cottage cheese (Dairy Farmers),Reduced-fat cottage cheese (Dairy Farmers),2006,234,29,10,7,7,0,10,1,9.0,2.0,40.0,7.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,11,10.3945/ajcn.110.005033,
BAO2011-012,Bao 2011 published 121,Dairy products,93% Fat-free cheddar cheese (Dairy Farmers),93% Fat-free cheddar cheese (Dairy Farmers),2003,119,41,8,1,1,0,0,0,6.0,1.0,20.0,6.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,12,10.3945/ajcn.110.005033,
BAO2011-013,Bao 2011 published 121,Dairy products,"Low-fat cottage cheese (Bulla original; Bulla Dairy Foods, Derrimut, Australia)","Low-fat cottage cheese (Bulla original; Bulla Dairy Foods, Derrimut, Australia)",2007,264,30,6,16,14,0,10,2,4.0,1.0,52.0,7.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,13,10.3945/ajcn.110.005033,
BAO2011-014,Bao 2011 published 121,Dairy products,Cream cheese (Coles Farmland),Cream cheese (Coles Farmland),2003,68,6,24,3,2,0,0,0,4.0,1.0,18.0,6.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,14,10.3945/ajcn.110.005033,
BAO2011-015,Bao 2011 published 121,Breakfast cereals,"Cornflakes (Kellogg Foods Inc, USA, Wells Fargo Bank, MN)","Cornflakes (Kellogg Foods Inc, USA, Wells Fargo Bank, MN)",2004,67,5,0,55,4,2,81,45,100.0,8.0,82.0,7.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,15,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-016,Bao 2011 published 121,Breakfast cereals,"Rice Krispies/Bubbles (Kellogg Foods Inc, Collingwood, Australia)","Rice Krispies/Bubbles (Kellogg Foods Inc, Collingwood, Australia)",2007,62,4,0,54,6,1,88,48,99.0,3.0,94.0,4.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,16,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
BAO2011-017,Bao 2011 published 121,Breakfast cereals,"Original Shredded Wheat (Post Healthy Classics; Post Foods Inc, St Louis, MO)","Original Shredded Wheat (Post Healthy Classics; Post Foods Inc, St Louis, MO)",2004,68,7,2,45,0,9,75,34,92.0,8.0,91.0,11.0,1000,1000,glucose=100 (Bao 2011 harmonized),"Bao 2011 Table 1 is already on the glucose=100 response scale. For earlier white-bread=100 scores, conversion to glucose=100 divides GS by (100/70) and FII by (100/73), equivalently multiplying by 0.70 and 0.73 respectively. This note corrects the previous reconstruction metadata only. Do not transform the already harmonized numerical Table 1 values again.",Bao et al. 2011 AJCN 93:984–996,Table 1,986,17,10.3945/ajcn.110.005033,Bao Table 1 footnote 3: cereals served fresh with 125 mL 1.5%-fat milk.
